Risk_Category,Risk_Factor_Title,Verbatim_Excerpt
Market Risk,"Market Fluctuations and Global Financial Conditions","Our results of operations have been in the past and may, in the future, be materially affected by global financial market and economic conditions, including, in particular, by periods of low or slowing economic growth in the United States and other major markets, both directly and indirectly through their impact on client activity levels." from 10-K Item 1A
Credit Risk,"Counterparty Default and Credit Loss","Credit risk refers to the risk of loss arising when a borrower, counterparty or issuer does not meet its financial obligations to us." from 10-K Item 1A
Liquidity Risk,"Loss of Access to Capital Markets","Liquidity risk refers to the risk that we will be unable to finance our operations due to a loss of access to the capital markets or difficulty in liquidating our assets." from 10-K Item 1A
Operational Risk,"Systems Failure and Cybersecurity Breach","A cyberattack, information or security breach or a technology failure of ours or a third party could adversely affect our ability to conduct our business or manage our exposure to risk, or result in disclosure or misuse of personal, confidential or proprietary information." from 10-K Item 1A
Model Risk,"Risk Management Strategies Ineffectiveness","Our risk management strategies, models and processes may not be fully effective in mitigating our risk exposures in all market environments or against all types of risk, which could result in unexpected losses." from 10-K Item 1A
Legal and Regulatory,"Regulatory Changes and Compliance","New laws, rules, regulations and guidelines, as well as ongoing implementation of, our efforts to comply with, and/or changes to laws, rules, regulations and guidelines, could materially impact the profitability of our businesses and the value of assets we hold." from 10-K Item 1A
Climate Risk,"Physical and Transition Climate Risk","Climate-related physical risks include harm to people and property arising from acute, climate-related events, such as floods, hurricanes, heatwaves, droughts and wildfires, and chronic, longer-term shifts in climate patterns." from 10-K Item 1A
Geopolitical Risk,"International Operations and Sanctions Risk","We are subject to numerous political, economic, legal, compliance, tax, operational, franchise and other risks that are inherent in operating in many countries, including risks of possible nationalization, expropriation, price controls, capital controls." from 10-K Item 1A
Competitive Risk,"Intense Competition from Financial Technology","We face strong competition from financial services firms and others, which could lead to pricing pressures that could materially adversely affect our revenues and profitability." from 10-K Item 1A
Talent Risk,"Attracting and Retaining Qualified Personnel","Our ability to retain and attract qualified employees is critical to the success of our business and the failure to do so may materially adversely affect our performance." from 10-K Item 1A
Strategic Risk,"Acquisition Integration Failure","We may be unable to fully capture the expected value from acquisitions, divestitures, joint ventures, partnerships, minority stakes or strategic alliances." from 10-K Item 1A
